DateTime,RATE A,RATE B,RATE C,Total
2022-06-01 00:45:00,,65.18,,65.18
2022-06-01 01:00:00,,65.73,,65.73
2022-06-01 01:15:00,,64.62,,64.62
2022-06-01 01:30:00,,63.45,,63.45
2022-06-01 01:45:00,,65.1,,65.1
2022-06-01 02:00:00,,62.54,,62.54
2022-06-01 02:15:00,,63.34,,63.34
2022-06-01 02:30:00,,63.49,,63.49
2022-06-01 02:45:00,,62.37,,62.37
2022-06-01 03:00:00,,61.93,,61.93
2022-06-01 03:15:00,,63.85,,63.85
2022-06-01 03:30:00,,59.4,,59.4
2022-06-01 03:45:00,,60.23,,60.23
2022-06-01 04:00:00,,62.62,,62.62
2022-06-01 04:15:00,,58.87,,58.87
2022-06-01 04:30:00,,60.4,,60.4
2022-06-01 04:45:00,,60.38,,60.38
2022-06-01 05:00:00,,58.31,,58.31
2022-06-01 05:15:00,,59.08,,59.08
2022-06-01 05:30:00,,58.53,,58.53
2022-06-01 05:45:00,,53.86,,53.86
2022-06-01 06:00:00,,56.5,,56.5
2022-06-01 06:15:00,,55.66,,55.66
2022-06-01 06:30:00,,51.05,,51.05
2022-06-01 06:45:00,,56.08,,56.08
2022-06-01 07:00:00,,55.3,,55.3
2022-06-01 07:15:00,,60.56,,60.56
2022-06-01 07:30:00,,80.72,,80.72
2022-06-01 07:45:00,,102.06,,102.06
2022-06-01 08:00:00,,108.52,,108.52
2022-06-01 08:15:00,,124.8,,124.8
2022-06-01 08:30:00,,147.74,,147.74
2022-06-01 08:45:00,,164.49,,164.49
2022-06-01 09:00:00,,186.63,,186.63
2022-06-01 09:15:00,192.97,,,192.97
2022-06-01 09:30:00,223.76,,,223.76
2022-06-01 09:45:00,250.87,,,250.87
2022-06-01 10:00:00,252.34,,,252.34
2022-06-01 10:15:00,230.25,,,230.25
2022-06-01 10:30:00,246.63,,,246.63
2022-06-01 10:45:00,247.27,,,247.27
2022-06-01 11:00:00,234.73,,,234.73
2022-06-01 11:15:00,241.66,,,241.66
2022-06-01 11:30:00,212.02,,,212.02
2022-06-01 11:45:00,264.63,,,264.63
2022-06-01 12:00:00,270.96,,,270.96
2022-06-01 12:15:00,231.85,,,231.85
2022-06-01 12:30:00,233.75,,,233.75
2022-06-01 12:45:00,271.29,,,271.29
2022-06-01 13:00:00,267.56,,,267.56
2022-06-01 13:15:00,267.64,,,267.64
2022-06-01 13:30:00,248.08,,,248.08
2022-06-01 13:45:00,263.07,,,263.07
2022-06-01 14:00:00,257.04,,,257.04
2022-06-01 14:15:00,265.13,,,265.13
2022-06-01 14:30:00,274.64,,,274.64
2022-06-01 14:45:00,290.93,,,290.93
2022-06-01 15:00:00,286.68,,,286.68
2022-06-01 15:15:00,293.0,,,293.0
2022-06-01 15:30:00,280.7,,,280.7
2022-06-01 15:45:00,279.39,,,279.39
2022-06-01 16:00:00,275.23,,,275.23
2022-06-01 16:15:00,258.66,,,258.66
2022-06-01 16:30:00,241.21,,,241.21
2022-06-01 16:45:00,214.39,,,214.39
2022-06-01 17:00:00,187.22,,,187.22
2022-06-01 17:15:00,166.6,,,166.6
2022-06-01 17:30:00,151.67,,,151.67
2022-06-01 17:45:00,126.43,,,126.43
2022-06-01 18:00:00,110.66,,,110.66
2022-06-01 18:15:00,92.54,,,92.54
2022-06-01 18:30:00,89.73,,,89.73
2022-06-01 18:45:00,89.66,,,89.66
2022-06-01 19:00:00,90.05,,,90.05
2022-06-01 19:15:00,86.6,,,86.6
2022-06-01 19:30:00,85.99,,,85.99
2022-06-01 19:45:00,86.5,,,86.5
2022-06-01 20:00:00,82.29,,,82.29
2022-06-01 20:15:00,82.23,,,82.23
2022-06-01 20:30:00,84.11,,,84.11
2022-06-01 20:45:00,83.44,,,83.44
2022-06-01 21:00:00,80.31,,,80.31
2022-06-01 21:15:00,76.74,,,76.74
2022-06-01 21:30:00,80.4,,,80.4
2022-06-01 21:45:00,84.08,,,84.08
2022-06-01 22:00:00,81.33,,,81.33
2022-06-01 22:15:00,,81.75,,81.75
2022-06-01 22:30:00,,83.38,,83.38
2022-06-01 22:45:00,,82.93,,82.93
2022-06-01 23:00:00,,79.49,,79.49
2022-06-01 23:15:00,,77.21,,77.21
2022-06-01 23:30:00,,75.48,,75.48
2022-06-01 23:45:00,,74.35,,74.35
2022-06-02 00:15:00,,71.97,,71.97
2022-06-02 00:30:00,,71.02,,71.02
2022-06-02 00:45:00,,73.54,,73.54
2022-06-02 01:00:00,,70.29,,70.29
2022-06-02 01:15:00,,68.78,,68.78
2022-06-02 01:30:00,,70.61,,70.61
2022-06-02 01:45:00,,68.29,,68.29
2022-06-02 02:00:00,,69.97,,69.97
2022-06-02 02:15:00,,68.75,,68.75
2022-06-02 02:30:00,,69.0,,69.0
2022-06-02 02:45:00,,71.54,,71.54
2022-06-02 03:00:00,,67.73,,67.73
2022-06-02 03:15:00,,66.76,,66.76
2022-06-02 03:30:00,,67.8,,67.8
2022-06-02 03:45:00,,66.47,,66.47
2022-06-02 04:00:00,,66.97,,66.97
2022-06-02 04:15:00,,65.8,,65.8
2022-06-02 04:30:00,,64.76,,64.76
2022-06-02 04:45:00,,66.45,,66.45
2022-06-02 05:00:00,,66.64,,66.64
2022-06-02 05:15:00,,63.26,,63.26
2022-06-02 05:30:00,,64.46,,64.46
2022-06-02 05:45:00,,59.85,,59.85
2022-06-02 06:00:00,,58.81,,58.81
2022-06-02 06:15:00,,57.49,,57.49
2022-06-02 06:30:00,,53.62,,53.62
2022-06-02 06:45:00,,55.47,,55.47
2022-06-02 07:00:00,,62.54,,62.54
2022-06-02 07:15:00,,66.88,,66.88
2022-06-02 07:30:00,,89.76,,89.76
2022-06-02 07:45:00,,124.58,,124.58
2022-06-02 08:00:00,,162.66,,162.66
2022-06-02 08:15:00,,167.44,,167.44
2022-06-02 08:30:00,,199.6,,199.6
2022-06-02 08:45:00,,227.29,,227.29
2022-06-02 09:00:00,,235.81,,235.81
2022-06-02 09:15:00,256.45,,,256.45
2022-06-02 09:30:00,248.49,,,248.49
2022-06-02 09:45:00,246.48,,,246.48
2022-06-02 10:00:00,258.84,,,258.84
2022-06-02 10:15:00,267.36,,,267.36
2022-06-02 10:30:00,272.5,,,272.5
2022-06-02 10:45:00,275.53,,,275.53
2022-06-02 11:00:00,279.8,,,279.8
2022-06-02 11:15:00,292.93,,,292.93
2022-06-02 11:30:00,294.31,,,294.31
2022-06-02 11:45:00,300.39,,,300.39
2022-06-02 12:00:00,308.08,,,308.08
2022-06-02 12:15:00,314.1,,,314.1
2022-06-02 12:30:00,304.8,,,304.8
2022-06-02 12:45:00,299.12,,,299.12
2022-06-02 13:00:00,306.51,,,306.51
2022-06-02 13:15:00,327.42,,,327.42
2022-06-02 13:30:00,318.0,,,318.0
2022-06-02 13:45:00,314.87,,,314.87
2022-06-02 14:00:00,318.73,,,318.73
2022-06-02 14:15:00,302.05,,,302.05
2022-06-02 14:30:00,301.37,,,301.37
2022-06-02 14:45:00,307.49,,,307.49
2022-06-02 15:00:00,309.64,,,309.64
2022-06-02 15:15:00,301.54,,,301.54
2022-06-02 15:30:00,297.77,,,297.77
2022-06-02 15:45:00,291.72,,,291.72
2022-06-02 16:00:00,284.14,,,284.14
2022-06-02 16:15:00,294.26,,,294.26
2022-06-02 16:30:00,269.24,,,269.24
2022-06-02 16:45:00,253.28,,,253.28
2022-06-02 17:00:00,240.0,,,240.0
2022-06-02 17:15:00,216.67,,,216.67
2022-06-02 17:30:00,186.72,,,186.72
2022-06-02 17:45:00,142.78,,,142.78
2022-06-02 18:00:00,119.18,,,119.18
2022-06-02 18:15:00,106.28,,,106.28
2022-06-02 18:30:00,99.06,,,99.06
2022-06-02 18:45:00,92.48,,,92.48
2022-06-02 19:00:00,88.23,,,88.23
2022-06-02 19:15:00,90.88,,,90.88
2022-06-02 19:30:00,87.61,,,87.61
2022-06-02 19:45:00,87.17,,,87.17
2022-06-02 20:00:00,88.66,,,88.66
2022-06-02 20:15:00,85.24,,,85.24
2022-06-02 20:30:00,84.9,,,84.9
2022-06-02 20:45:00,84.68,,,84.68
2022-06-02 21:00:00,83.42,,,83.42
2022-06-02 21:15:00,82.29,,,82.29
2022-06-02 21:30:00,84.62,,,84.62
2022-06-02 21:45:00,81.81,,,81.81
2022-06-02 22:00:00,80.77,,,80.77
2022-06-02 22:15:00,,77.92,,77.92
2022-06-02 22:30:00,,82.08,,82.08
2022-06-02 22:45:00,,83.58,,83.58
2022-06-02 23:00:00,,80.13,,80.13
2022-06-02 23:15:00,,79.18,,79.18
2022-06-02 23:30:00,,81.26,,81.26
2022-06-02 23:45:00,,81.05,,81.05
2022-06-03 00:15:00,,,80.3,80.3
2022-06-03 00:30:00,,,76.25,76.25
2022-06-03 00:45:00,,,73.44,73.44
2022-06-03 01:00:00,,,73.44,73.44
2022-06-03 01:15:00,,,72.33,72.33
2022-06-03 01:30:00,,,71.28,71.28
2022-06-03 01:45:00,,,70.3,70.3
2022-06-03 02:00:00,,,68.94,68.94
2022-06-03 02:15:00,,,71.57,71.57
2022-06-03 02:30:00,,,68.6,68.6
2022-06-03 02:45:00,,,67.3,67.3
2022-06-03 03:00:00,,,68.39,68.39
2022-06-03 03:15:00,,,66.4,66.4
2022-06-03 03:30:00,,,67.34,67.34
2022-06-03 03:45:00,,,68.91,68.91
2022-06-03 04:00:00,,,67.21,67.21
2022-06-03 04:15:00,,,68.32,68.32
2022-06-03 04:30:00,,,67.4,67.4
2022-06-03 04:45:00,,,65.64,65.64
2022-06-03 05:00:00,,,67.31,67.31
2022-06-03 05:15:00,,,67.19,67.19
2022-06-03 05:30:00,,,62.92,62.92
2022-06-03 05:45:00,,,62.13,62.13
2022-06-03 06:00:00,,,59.72,59.72
2022-06-03 06:15:00,,,55.76,55.76
2022-06-03 06:30:00,,,53.6,53.6
2022-06-03 06:45:00,,,51.86,51.86
2022-06-03 07:00:00,,,48.98,48.98
2022-06-03 07:15:00,,,47.71,47.71
2022-06-03 07:30:00,,,48.79,48.79
2022-06-03 07:45:00,,,46.19,46.19
2022-06-03 08:00:00,,,50.05,50.05
2022-06-03 08:15:00,,,37.89,37.89
2022-06-03 08:30:00,,,38.27,38.27
2022-06-03 08:45:00,,,47.24,47.24
2022-06-03 09:00:00,,,42.89,42.89
2022-06-03 09:15:00,,,42.88,42.88
2022-06-03 09:30:00,,,44.12,44.12
2022-06-03 09:45:00,,,51.34,51.34
2022-06-03 10:00:00,,,43.81,43.81
2022-06-03 10:15:00,,,21.21,21.21
2022-06-03 10:30:00,,,33.33,33.33
2022-06-03 10:45:00,,,21.15,21.15
2022-06-03 11:00:00,,,46.42,46.42
